Block,Hash,crawler hash,neo4j hash,check hash,crawler address,neo4j address,check address
703136,188ebc78416af86772d2436e7ef176da20ed077423a7ef7611796dd9529ed62b,"{'transaction': {'output_count': 2, 'input_count': 1, 'fee': 42600, 'output_value': 6545411, 'input_value': 6588011, 'hash': '188ebc78416af86772d2436e7ef176da20ed077423a7ef7611796dd9529ed62b', 'timestamp': 1633151590}}","{'transaction': {'output_count': 2, 'input_count': 1, 'fee': 42600, 'output_value': 6545411, 'input_value': 6588011, 'hash': '188ebc78416af86772d2436e7ef176da20ed077423a7ef7611796dd9529ed62b', 'timestamp': 1633151590}}",Pass,"{'transactions': [{'timestamp': 1633151590, 'inputs': [{'from': 'bc1qnmenwtsrmt8ufhcs2ve6xl5zktn7dz37waxwmm', 'value': 6588011}], 'hash': '188ebc78416af86772d2436e7ef176da20ed077423a7ef7611796dd9529ed62b', 'outputs': [{'to': 'bc1qv2macmepeuqtr2jjjed9vw3dy6td972ea2c855', 'value': 503838}, {'to': '3GKK7RoBXnw68eUJCjW9XUFt1YH8eWu9Rb', 'value': 6041573}]}]}","{'transactions': [{'timestamp': 1633151590, 'inputs': [{'from': 'bc1qnmenwtsrmt8ufhcs2ve6xl5zktn7dz37waxwmm', 'value': 6588011}], 'hash': '188ebc78416af86772d2436e7ef176da20ed077423a7ef7611796dd9529ed62b', 'outputs': [{'to': 'bc1qv2macmepeuqtr2jjjed9vw3dy6td972ea2c855', 'value': 503838}, {'to': '3GKK7RoBXnw68eUJCjW9XUFt1YH8eWu9Rb', 'value': 6041573}]}]}",Pass
703136,880e787583d08925319ffd37d39dd43ada47ad20a4ddf0a25bc6a00995b641b7,"{'transaction': {'output_count': 2, 'input_count': 1, 'fee': 43225, 'output_value': 333999580, 'input_value': 334042805, 'hash': '880e787583d08925319ffd37d39dd43ada47ad20a4ddf0a25bc6a00995b641b7', 'timestamp': 1633151590}}","{'transaction': {'output_count': 2, 'input_count': 1, 'fee': 43225, 'output_value': 333999580, 'input_value': 334042805, 'hash': '880e787583d08925319ffd37d39dd43ada47ad20a4ddf0a25bc6a00995b641b7', 'timestamp': 1633151590}}",Pass,"{'transactions': [{'timestamp': 1633151590, 'inputs': [{'from': '35os4PzkmcjgE4SSxRdSnwE8nbhoNu9kJw', 'value': 334042805}], 'hash': '880e787583d08925319ffd37d39dd43ada47ad20a4ddf0a25bc6a00995b641b7', 'outputs': [{'to': '35Lnfkn7C5QwXkSfe78d9Y1ejUAsrGiEzb', 'value': 1206228}, {'to': '3EP3ZTDpdZzJoiUi31RWn73awwMsh4yi41', 'value': 332793352}]}]}","{'transactions': [{'timestamp': 1633151590, 'inputs': [{'from': '35os4PzkmcjgE4SSxRdSnwE8nbhoNu9kJw', 'value': 334042805}], 'hash': '880e787583d08925319ffd37d39dd43ada47ad20a4ddf0a25bc6a00995b641b7', 'outputs': [{'to': '35Lnfkn7C5QwXkSfe78d9Y1ejUAsrGiEzb', 'value': 1206228}, {'to': '3EP3ZTDpdZzJoiUi31RWn73awwMsh4yi41', 'value': 332793352}]}]}",Pass
703136,366de016d6ba2205bb3b91ef31f3cb2dc46fb730949ba6400b7295d136ae46c9,"{'transaction': {'output_count': 2, 'input_count': 1, 'fee': 40000, 'output_value': 1568554, 'input_value': 1608554, 'hash': '366de016d6ba2205bb3b91ef31f3cb2dc46fb730949ba6400b7295d136ae46c9', 'timestamp': 1633151590}}","{'transaction': {'output_count': 2, 'input_count': 1, 'fee': 40000, 'output_value': 1568554, 'input_value': 1608554, 'hash': '366de016d6ba2205bb3b91ef31f3cb2dc46fb730949ba6400b7295d136ae46c9', 'timestamp': 1633151590}}",Pass,"{'transactions': [{'timestamp': 1633151590, 'inputs': [{'from': 'bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej', 'value': 1608554}], 'hash': '366de016d6ba2205bb3b91ef31f3cb2dc46fb730949ba6400b7295d136ae46c9', 'outputs': [{'to': '3Kmb9Z4cY6vL8jPxPW1K1QLawjMpo4gR8J', 'value': 1100000}, {'to': 'bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej', 'value': 468554}]}]}","{'transactions': [{'timestamp': 1633151590, 'inputs': [{'from': 'bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej', 'value': 1608554}], 'hash': '366de016d6ba2205bb3b91ef31f3cb2dc46fb730949ba6400b7295d136ae46c9', 'outputs': [{'to': '3Kmb9Z4cY6vL8jPxPW1K1QLawjMpo4gR8J', 'value': 1100000}, {'to': 'bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej', 'value': 468554}]}]}",Pass
703136,3612ade4c2ee1105665fbfc62a35981a79d85dfcf5dca544b13ce50938149503,"{'transaction': {'output_count': 2, 'input_count': 1, 'fee': 25608, 'output_value': 3113388, 'input_value': 3138996, 'hash': '3612ade4c2ee1105665fbfc62a35981a79d85dfcf5dca544b13ce50938149503', 'timestamp': 1633151590}}","{'transaction': {'output_count': 2, 'input_count': 1, 'fee': 25608, 'output_value': 3113388, 'input_value': 3138996, 'hash': '3612ade4c2ee1105665fbfc62a35981a79d85dfcf5dca544b13ce50938149503', 'timestamp': 1633151590}}",Pass,"{'transactions': [{'timestamp': 1633151590, 'inputs': [{'from': 'bc1qdkkulusncxrmmsae9ze8pddv5zk99ajh8ryfzj', 'value': 3138996}], 'hash': '3612ade4c2ee1105665fbfc62a35981a79d85dfcf5dca544b13ce50938149503', 'outputs': [{'to': '3HHU9CYURixFb9zHKdxSLG9NmgxiYhCfSu', 'value': 29000}, {'to': 'bc1qpjfqrjklfql6ferm5q9clph70se2tdadx303ld', 'value': 3084388}]}]}","{'transactions': [{'timestamp': 1633151590, 'inputs': [{'from': 'bc1qdkkulusncxrmmsae9ze8pddv5zk99ajh8ryfzj', 'value': 3138996}], 'hash': '3612ade4c2ee1105665fbfc62a35981a79d85dfcf5dca544b13ce50938149503', 'outputs': [{'to': '3HHU9CYURixFb9zHKdxSLG9NmgxiYhCfSu', 'value': 29000}, {'to': 'bc1qpjfqrjklfql6ferm5q9clph70se2tdadx303ld', 'value': 3084388}]}]}",Pass
703136,4e678289a32ca6a56987b0d68d8239e7d8ecd17f5b69e2068f53fd2649b3a2bf,"{'transaction': {'output_count': 2, 'input_count': 1, 'fee': 22185, 'output_value': 954551370, 'input_value': 954573555, 'hash': '4e678289a32ca6a56987b0d68d8239e7d8ecd17f5b69e2068f53fd2649b3a2bf', 'timestamp': 1633151590}}","{'transaction': {'output_count': 2, 'input_count': 1, 'fee': 22185, 'output_value': 954551370, 'input_value': 954573555, 'hash': '4e678289a32ca6a56987b0d68d8239e7d8ecd17f5b69e2068f53fd2649b3a2bf', 'timestamp': 1633151590}}",Pass,"{'transactions': [{'timestamp': 1633151590, 'inputs': [{'from': 'bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 'value': 954573555}], 'hash': '4e678289a32ca6a56987b0d68d8239e7d8ecd17f5b69e2068f53fd2649b3a2bf', 'outputs': [{'to': '3QBZqmn52wy9tmBc7XwV9nssJFCbUK6PNH', 'value': 2046629}, {'to': 'bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 'value': 952504741}]}]}","{'transactions': [{'timestamp': 1633151590, 'inputs': [{'from': 'bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 'value': 954573555}], 'hash': '4e678289a32ca6a56987b0d68d8239e7d8ecd17f5b69e2068f53fd2649b3a2bf', 'outputs': [{'to': '3QBZqmn52wy9tmBc7XwV9nssJFCbUK6PNH', 'value': 2046629}, {'to': 'bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 'value': 952504741}]}]}",Pass
703136,b5996cb11693a1331976c62baf427e06ea660b52952d1377e26138d934d62e13,"{'transaction': {'output_count': 3, 'input_count': 1, 'fee': 27081, 'output_value': 1173769637, 'input_value': 1173796718, 'hash': 'b5996cb11693a1331976c62baf427e06ea660b52952d1377e26138d934d62e13', 'timestamp': 1633151590}}","{'transaction': {'output_count': 3, 'input_count': 1, 'fee': 27081, 'output_value': 1173769637, 'input_value': 1173796718, 'hash': 'b5996cb11693a1331976c62baf427e06ea660b52952d1377e26138d934d62e13', 'timestamp': 1633151590}}",Pass,"{'transactions': [{'timestamp': 1633151590, 'inputs': [{'from': 'bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 'value': 1173796718}], 'hash': 'b5996cb11693a1331976c62baf427e06ea660b52952d1377e26138d934d62e13', 'outputs': [{'to': '3DfHExu18GC5LUefW8we1WgQrcvJ4JJqV3', 'value': 261585}, {'to': '3676B93LJaoxR9RUveBP9zBNdeVS7WaoLz', 'value': 260000}, {'to': 'bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 'value': 1173248052}]}]}","{'transactions': [{'timestamp': 1633151590, 'inputs': [{'from': 'bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 'value': 1173796718}], 'hash': 'b5996cb11693a1331976c62baf427e06ea660b52952d1377e26138d934d62e13', 'outputs': [{'to': '3DfHExu18GC5LUefW8we1WgQrcvJ4JJqV3', 'value': 261585}, {'to': '3676B93LJaoxR9RUveBP9zBNdeVS7WaoLz', 'value': 260000}, {'to': 'bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 'value': 1173248052}]}]}",Pass
703136,6e7ce553cb18c1714d7e37d7cdd7715c0deb350afb4fac821bca31c058189201,"{'transaction': {'output_count': 4, 'input_count': 1, 'fee': 31824, 'output_value': 311843887, 'input_value': 311875711, 'hash': '6e7ce553cb18c1714d7e37d7cdd7715c0deb350afb4fac821bca31c058189201', 'timestamp': 1633151590}}","{'transaction': {'output_count': 4, 'input_count': 1, 'fee': 31824, 'output_value': 311843887, 'input_value': 311875711, 'hash': '6e7ce553cb18c1714d7e37d7cdd7715c0deb350afb4fac821bca31c058189201', 'timestamp': 1633151590}}",Pass,"{'transactions': [{'timestamp': 1633151590, 'inputs': [{'from': 'bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 'value': 311875711}], 'hash': '6e7ce553cb18c1714d7e37d7cdd7715c0deb350afb4fac821bca31c058189201', 'outputs': [{'to': '3KsigAsRnvEYPQFCw1U1bhTc4ZNVAvUuVt', 'value': 837000}, {'to': '38txV5mWf7EAHNCq2i89m3iSW87bWK8mC6', 'value': 510000}, {'to': 'bc1q5q9ungrufrqvlackfurl9mhtrwddq3hvul7vn5', 'value': 260000}, {'to': 'bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 'value': 310236887}]}]}","{'transactions': [{'timestamp': 1633151590, 'inputs': [{'from': 'bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 'value': 311875711}], 'hash': '6e7ce553cb18c1714d7e37d7cdd7715c0deb350afb4fac821bca31c058189201', 'outputs': [{'to': '3KsigAsRnvEYPQFCw1U1bhTc4ZNVAvUuVt', 'value': 837000}, {'to': '38txV5mWf7EAHNCq2i89m3iSW87bWK8mC6', 'value': 510000}, {'to': 'bc1q5q9ungrufrqvlackfurl9mhtrwddq3hvul7vn5', 'value': 260000}, {'to': 'bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 'value': 310236887}]}]}",Pass
703136,eedd67ac5decfe27facc4a2e54533589b7667f0a202f9e8c1e0adb22fc4a7b7e,"{'transaction': {'output_count': 2, 'input_count': 1, 'fee': 26980, 'output_value': 1776030, 'input_value': 1803010, 'hash': 'eedd67ac5decfe27facc4a2e54533589b7667f0a202f9e8c1e0adb22fc4a7b7e', 'timestamp': 1633151590}}","{'transaction': {'output_count': 2, 'input_count': 1, 'fee': 26980, 'output_value': 1776030, 'input_value': 1803010, 'hash': 'eedd67ac5decfe27facc4a2e54533589b7667f0a202f9e8c1e0adb22fc4a7b7e', 'timestamp': 1633151590}}",Pass,"{'transactions': [{'timestamp': 1633151590, 'inputs': [{'from': 'bc1q2pljta7du7la3dglld5sdf6d4fy3cl6ew8tk6ku0ywavn74569rqxr9sv7', 'value': 1803010}], 'hash': 'eedd67ac5decfe27facc4a2e54533589b7667f0a202f9e8c1e0adb22fc4a7b7e', 'outputs': [{'to': 'bc1q7yz64nmf4cuczetdj2e9htuahpuu54u4duwmak', 'value': 136952}, {'to': 'bc1qhgjmzx75fgv787cfv09v387ua992yxfpwa2njgzltjjhvugjcjjqkhcvyp', 'value': 1639078}]}]}","{'transactions': [{'timestamp': 1633151590, 'inputs': [{'from': 'bc1q2pljta7du7la3dglld5sdf6d4fy3cl6ew8tk6ku0ywavn74569rqxr9sv7', 'value': 1803010}], 'hash': 'eedd67ac5decfe27facc4a2e54533589b7667f0a202f9e8c1e0adb22fc4a7b7e', 'outputs': [{'to': 'bc1q7yz64nmf4cuczetdj2e9htuahpuu54u4duwmak', 'value': 136952}, {'to': 'bc1qhgjmzx75fgv787cfv09v387ua992yxfpwa2njgzltjjhvugjcjjqkhcvyp', 'value': 1639078}]}]}",Pass
703136,cb2a84fa5d3889da783427629516e1e94c14022b7810a5c3f4d76fe34b7a3118,"{'transaction': {'output_count': 5, 'input_count': 4, 'fee': 160000, 'output_value': 33987309, 'input_value': 34147309, 'hash': 'cb2a84fa5d3889da783427629516e1e94c14022b7810a5c3f4d76fe34b7a3118', 'timestamp': 1633151590}}","{'transaction': {'output_count': 5, 'input_count': 4, 'fee': 160000, 'output_value': 33987309, 'input_value': 34147309, 'hash': 'cb2a84fa5d3889da783427629516e1e94c14022b7810a5c3f4d76fe34b7a3118', 'timestamp': 1633151590}}",Pass,"{'transactions': [{'timestamp': 1633151590, 'inputs': [{'from': '36fAfpLezASqusJxxmqfk3Fh5Tc4SdLXwr', 'value': 7900000}, {'from': 'bc1qckv3n8crkx30e578623jeavhucqvqayshzysmrym3nm6spv55nlqml9gmz', 'value': 8254823}, {'from': '38G383senGE1AeixrkYhE5xr35JA5zBXmG', 'value': 8903890}, {'from': '3P2htnq7eJgzBnyS9sumYeQ1vFMihX2x6r', 'value': 9088596}], 'hash': 'cb2a84fa5d3889da783427629516e1e94c14022b7810a5c3f4d76fe34b7a3118', 'outputs': [{'to': '34uqZJrsRNrj3RZKjxDHek63Sv9dZ3B4Md', 'value': 9977100}, {'to': '3AanvReL64uib14oU2UufCZ2qMH3m2guV1', 'value': 942049}, {'to': '3LW8fxZYYvDrKeznoboukLQFagBpQKjmXf', 'value': 6448400}, {'to': '1M1co7ZtKrR3ELVraFP7vGSMKQLu8mbek5', 'value': 14854507}, {'to': 'bc1q65vzuw35prwakg7rnjymwndezdfgp5vtqku4af8j73medrtkrhvqxyucfw', 'value': 1765253}]}]}","{'transactions': [{'timestamp': 1633151590, 'inputs': [{'from': '36fAfpLezASqusJxxmqfk3Fh5Tc4SdLXwr', 'value': 7900000}, {'from': 'bc1qckv3n8crkx30e578623jeavhucqvqayshzysmrym3nm6spv55nlqml9gmz', 'value': 8254823}, {'from': '38G383senGE1AeixrkYhE5xr35JA5zBXmG', 'value': 8903890}, {'from': '3P2htnq7eJgzBnyS9sumYeQ1vFMihX2x6r', 'value': 9088596}], 'hash': 'cb2a84fa5d3889da783427629516e1e94c14022b7810a5c3f4d76fe34b7a3118', 'outputs': [{'to': '34uqZJrsRNrj3RZKjxDHek63Sv9dZ3B4Md', 'value': 9977100}, {'to': '3AanvReL64uib14oU2UufCZ2qMH3m2guV1', 'value': 942049}, {'to': '3LW8fxZYYvDrKeznoboukLQFagBpQKjmXf', 'value': 6448400}, {'to': '1M1co7ZtKrR3ELVraFP7vGSMKQLu8mbek5', 'value': 14854507}, {'to': 'bc1q65vzuw35prwakg7rnjymwndezdfgp5vtqku4af8j73medrtkrhvqxyucfw', 'value': 1765253}]}]}",Pass
