Block,Hash,crawler hash,neo4j hash,check hash,crawler address,neo4j address,check address
737600,025ae3b09f0f0147be3314025348a6204c36da2c643ce05043fc806834fd63cd,"{'transaction': {'output_count': 1, 'input_count': 1, 'fee': 55963, 'output_value': 2250323, 'input_value': 2306286, 'hash': '025ae3b09f0f0147be3314025348a6204c36da2c643ce05043fc806834fd63cd', 'timestamp': 1653323189}}","{'transaction': {'output_count': 1, 'input_count': 1, 'fee': 55963, 'output_value': 2250323, 'input_value': 2306286, 'hash': '025ae3b09f0f0147be3314025348a6204c36da2c643ce05043fc806834fd63cd', 'timestamp': 1653323189}}",Pass,"{'transactions': [{'timestamp': 1653323189, 'inputs': [{'from': '18UGDhamaVFhLDrdEhmLshKac7eJyDfKg5', 'value': 2306286}], 'hash': '025ae3b09f0f0147be3314025348a6204c36da2c643ce05043fc806834fd63cd', 'outputs': [{'to': '37f7fAzaxWQgEVGqKF4NXUZdtcFZVT8zoj', 'value': 2250323}]}]}","{'transactions': [{'timestamp': 1653323189, 'inputs': [{'from': '18UGDhamaVFhLDrdEhmLshKac7eJyDfKg5', 'value': 2306286}], 'hash': '025ae3b09f0f0147be3314025348a6204c36da2c643ce05043fc806834fd63cd', 'outputs': [{'to': '37f7fAzaxWQgEVGqKF4NXUZdtcFZVT8zoj', 'value': 2250323}]}]}",Pass
737600,21138db300c6f409ca774196066ac6eb96cb88e33cca920b1ebee1d2838c62ad,"{'transaction': {'output_count': 1, 'input_count': 1, 'fee': 23790, 'output_value': 679619, 'input_value': 703409, 'hash': '21138db300c6f409ca774196066ac6eb96cb88e33cca920b1ebee1d2838c62ad', 'timestamp': 1653323189}}","{'transaction': {'output_count': 1, 'input_count': 1, 'fee': 23790, 'output_value': 679619, 'input_value': 703409, 'hash': '21138db300c6f409ca774196066ac6eb96cb88e33cca920b1ebee1d2838c62ad', 'timestamp': 1653323189}}",Pass,"{'transactions': [{'timestamp': 1653323189, 'inputs': [{'from': 'bc1q2tt4m9exq5xlfck36pnd96n8uypkaujv57h8rl', 'value': 703409}], 'hash': '21138db300c6f409ca774196066ac6eb96cb88e33cca920b1ebee1d2838c62ad', 'outputs': [{'to': '37VGbjMAVWsXW1mga1fHoq1VwLC6uyRnEt', 'value': 679619}]}]}","{'transactions': [{'timestamp': 1653323189, 'inputs': [{'from': 'bc1q2tt4m9exq5xlfck36pnd96n8uypkaujv57h8rl', 'value': 703409}], 'hash': '21138db300c6f409ca774196066ac6eb96cb88e33cca920b1ebee1d2838c62ad', 'outputs': [{'to': '37VGbjMAVWsXW1mga1fHoq1VwLC6uyRnEt', 'value': 679619}]}]}",Pass
737600,69c67b4764def7270b8ea6cebf20d0f143b76138c3716c3c37c75bcdfb4f41ca,"{'transaction': {'output_count': 1, 'input_count': 2, 'fee': 57348, 'output_value': 4000000, 'input_value': 4057348, 'hash': '69c67b4764def7270b8ea6cebf20d0f143b76138c3716c3c37c75bcdfb4f41ca', 'timestamp': 1653323189}}","{'transaction': {'output_count': 1, 'input_count': 2, 'fee': 57348, 'output_value': 4000000, 'input_value': 4057348, 'hash': '69c67b4764def7270b8ea6cebf20d0f143b76138c3716c3c37c75bcdfb4f41ca', 'timestamp': 1653323189}}",Pass,"{'transactions': [{'timestamp': 1653323189, 'inputs': [{'from': '3HbyhhxbWivw4Eyd7eRjvP7EBgRrrhAUoT', 'value': 1257848}, {'from': '14tGteJ9UqKTDjQcqpyexP1VTwmQHiXmd2', 'value': 2799500}], 'hash': '69c67b4764def7270b8ea6cebf20d0f143b76138c3716c3c37c75bcdfb4f41ca', 'outputs': [{'to': '38izCsFKnM6xicfHNZiNGfmVvDjdhz68dz', 'value': 4000000}]}]}","{'transactions': [{'timestamp': 1653323189, 'inputs': [{'from': '3HbyhhxbWivw4Eyd7eRjvP7EBgRrrhAUoT', 'value': 1257848}, {'from': '14tGteJ9UqKTDjQcqpyexP1VTwmQHiXmd2', 'value': 2799500}], 'hash': '69c67b4764def7270b8ea6cebf20d0f143b76138c3716c3c37c75bcdfb4f41ca', 'outputs': [{'to': '38izCsFKnM6xicfHNZiNGfmVvDjdhz68dz', 'value': 4000000}]}]}",Pass
737600,6b3eaf256b509304cc4d0d94c7bfd839c3901d2a0125daab3a29253d7d74414a,"{'transaction': {'output_count': 2, 'input_count': 1, 'fee': 28400, 'output_value': 106429813, 'input_value': 106458213, 'hash': '6b3eaf256b509304cc4d0d94c7bfd839c3901d2a0125daab3a29253d7d74414a', 'timestamp': 1653323189}}","{'transaction': {'output_count': 2, 'input_count': 1, 'fee': 28400, 'output_value': 106429813, 'input_value': 106458213, 'hash': '6b3eaf256b509304cc4d0d94c7bfd839c3901d2a0125daab3a29253d7d74414a', 'timestamp': 1653323189}}",Pass,"{'transactions': [{'timestamp': 1653323189, 'inputs': [{'from': 'bc1qgm8s5u78kjcrjzwswrfedcrtqu74sy7gwqs7fp', 'value': 106458213}], 'hash': '6b3eaf256b509304cc4d0d94c7bfd839c3901d2a0125daab3a29253d7d74414a', 'outputs': [{'to': '3EqhxQ8CyXS3CqfFRBwbBh3PP1Z5ocoFet', 'value': 100000000}, {'to': 'bc1q93pv4e3gvy9nmnhugmdz0c3q7jm0x3kmxkg5fe', 'value': 6429812}]}]}","{'transactions': [{'timestamp': 1653323189, 'inputs': [{'from': 'bc1qgm8s5u78kjcrjzwswrfedcrtqu74sy7gwqs7fp', 'value': 106458213}], 'hash': '6b3eaf256b509304cc4d0d94c7bfd839c3901d2a0125daab3a29253d7d74414a', 'outputs': [{'to': '3EqhxQ8CyXS3CqfFRBwbBh3PP1Z5ocoFet', 'value': 100000000}, {'to': 'bc1q93pv4e3gvy9nmnhugmdz0c3q7jm0x3kmxkg5fe', 'value': 6429812}]}]}",Pass
737600,6602bd6579077b6f6ea450f71a250692ea7ac70bfe4ebcd791c48278e3a4eaa6,"{'transaction': {'output_count': 2, 'input_count': 1, 'fee': 30600, 'output_value': 35969400, 'input_value': 36000000, 'hash': '6602bd6579077b6f6ea450f71a250692ea7ac70bfe4ebcd791c48278e3a4eaa6', 'timestamp': 1653323189}}","{'transaction': {'output_count': 2, 'input_count': 1, 'fee': 30600, 'output_value': 35969400, 'input_value': 36000000, 'hash': '6602bd6579077b6f6ea450f71a250692ea7ac70bfe4ebcd791c48278e3a4eaa6', 'timestamp': 1653323189}}",Pass,"{'transactions': [{'timestamp': 1653323189, 'inputs': [{'from': '3NUXjhf9zRdjob5aAfG7KTrWKdbvbMLoLe', 'value': 36000000}], 'hash': '6602bd6579077b6f6ea450f71a250692ea7ac70bfe4ebcd791c48278e3a4eaa6', 'outputs': [{'to': '1JD1L35uwnH8qtYTAWoZmRp5fkBKwQ3qi4', 'value': 35800000}, {'to': '3NUXjhf9zRdjob5aAfG7KTrWKdbvbMLoLe', 'value': 169400}]}]}","{'transactions': [{'timestamp': 1653323189, 'inputs': [{'from': '3NUXjhf9zRdjob5aAfG7KTrWKdbvbMLoLe', 'value': 36000000}], 'hash': '6602bd6579077b6f6ea450f71a250692ea7ac70bfe4ebcd791c48278e3a4eaa6', 'outputs': [{'to': '1JD1L35uwnH8qtYTAWoZmRp5fkBKwQ3qi4', 'value': 35800000}, {'to': '3NUXjhf9zRdjob5aAfG7KTrWKdbvbMLoLe', 'value': 169400}]}]}",Pass
737600,cd0bba670b83fd3bfb8c2dbd409692e0eb4c8ec57c5c6a6f9e96c9716b7c0556,"{'transaction': {'output_count': 3, 'input_count': 1, 'fee': 40000, 'output_value': 6858652, 'input_value': 6898652, 'hash': 'cd0bba670b83fd3bfb8c2dbd409692e0eb4c8ec57c5c6a6f9e96c9716b7c0556', 'timestamp': 1653323189}}","{'transaction': {'output_count': 3, 'input_count': 1, 'fee': 40000, 'output_value': 6858652, 'input_value': 6898652, 'hash': 'cd0bba670b83fd3bfb8c2dbd409692e0eb4c8ec57c5c6a6f9e96c9716b7c0556', 'timestamp': 1653323189}}",Pass,"{'transactions': [{'timestamp': 1653323189, 'inputs': [{'from': 'bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej', 'value': 6898652}], 'hash': 'cd0bba670b83fd3bfb8c2dbd409692e0eb4c8ec57c5c6a6f9e96c9716b7c0556', 'outputs': [{'to': '39xux29xHsmNsjfdM1UszwA6QpJjnvrtVw', 'value': 4000000}, {'to': '36XphrMJjkxmY5Jg3rJt22esQaVsBk324P', 'value': 500000}, {'to': 'bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej', 'value': 2358652}]}]}","{'transactions': [{'timestamp': 1653323189, 'inputs': [{'from': 'bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej', 'value': 6898652}], 'hash': 'cd0bba670b83fd3bfb8c2dbd409692e0eb4c8ec57c5c6a6f9e96c9716b7c0556', 'outputs': [{'to': '39xux29xHsmNsjfdM1UszwA6QpJjnvrtVw', 'value': 4000000}, {'to': '36XphrMJjkxmY5Jg3rJt22esQaVsBk324P', 'value': 500000}, {'to': 'bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej', 'value': 2358652}]}]}",Pass
737600,39dbdd26aa1cf0e776e57435db832d9d5c7db982b4c52aa2ef4546c4271ce0fd,"{'transaction': {'output_count': 4, 'input_count': 1, 'fee': 33813, 'output_value': 708911242, 'input_value': 708945055, 'hash': '39dbdd26aa1cf0e776e57435db832d9d5c7db982b4c52aa2ef4546c4271ce0fd', 'timestamp': 1653323189}}","{'transaction': {'output_count': 4, 'input_count': 1, 'fee': 33813, 'output_value': 708911242, 'input_value': 708945055, 'hash': '39dbdd26aa1cf0e776e57435db832d9d5c7db982b4c52aa2ef4546c4271ce0fd', 'timestamp': 1653323189}}",Pass,"{'transactions': [{'timestamp': 1653323189, 'inputs': [{'from': 'bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 'value': 708945055}], 'hash': '39dbdd26aa1cf0e776e57435db832d9d5c7db982b4c52aa2ef4546c4271ce0fd', 'outputs': [{'to': '17wgLFNu9Nhonn29HCAKycBECyP6xTRbHY', 'value': 1564200}, {'to': 'bc1qasqkpjcls2gm5q64r0cyvsvygrhvvfjymp9d39', 'value': 695962}, {'to': 'bc1qaafklwyk4nfa95ta9txv7d45zq6u34rnn2nd54jkge0qlxmg0z0sqmdqch', 'value': 188490}, {'to': 'bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 'value': 706462590}]}]}","{'transactions': [{'timestamp': 1653323189, 'inputs': [{'from': 'bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 'value': 708945055}], 'hash': '39dbdd26aa1cf0e776e57435db832d9d5c7db982b4c52aa2ef4546c4271ce0fd', 'outputs': [{'to': '17wgLFNu9Nhonn29HCAKycBECyP6xTRbHY', 'value': 1564200}, {'to': 'bc1qasqkpjcls2gm5q64r0cyvsvygrhvvfjymp9d39', 'value': 695962}, {'to': 'bc1qaafklwyk4nfa95ta9txv7d45zq6u34rnn2nd54jkge0qlxmg0z0sqmdqch', 'value': 188490}, {'to': 'bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 'value': 706462590}]}]}",Pass
737600,da23455b6f6c1a6527fa9fa774a25d872f8fb1ec05de7c6dc147fb8772c9e1fd,"{'transaction': {'output_count': 6, 'input_count': 1, 'fee': 41157, 'output_value': 348076339, 'input_value': 348117496, 'hash': 'da23455b6f6c1a6527fa9fa774a25d872f8fb1ec05de7c6dc147fb8772c9e1fd', 'timestamp': 1653323189}}","{'transaction': {'output_count': 6, 'input_count': 1, 'fee': 41157, 'output_value': 348076339, 'input_value': 348117496, 'hash': 'da23455b6f6c1a6527fa9fa774a25d872f8fb1ec05de7c6dc147fb8772c9e1fd', 'timestamp': 1653323189}}",Pass,"{'transactions': [{'timestamp': 1653323189, 'inputs': [{'from': 'bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 'value': 348117496}], 'hash': 'da23455b6f6c1a6527fa9fa774a25d872f8fb1ec05de7c6dc147fb8772c9e1fd', 'outputs': [{'to': 'bc1qlzrnza02z97267me6hque9yk7kxyz8yyg2ckpm', 'value': 45690558}, {'to': 'bc1q5jzs3sckxtqj9eqgug7n4cl7ejtssjx7u2gmdw', 'value': 106006}, {'to': 'bc1qkx6ama94knfhczeykwsxrv5fsgzhd2mkcndpf9', 'value': 800000}, {'to': '36z61juvSGNYcq8AncCnoQB3J3Q4wxzqsj', 'value': 261860}, {'to': 'bc1q0hvazgkr27l2fc8yuv70arv8ktz6nnd8h357yn', 'value': 721185}, {'to': 'bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 'value': 300496730}]}]}","{'transactions': [{'timestamp': 1653323189, 'inputs': [{'from': 'bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 'value': 348117496}], 'hash': 'da23455b6f6c1a6527fa9fa774a25d872f8fb1ec05de7c6dc147fb8772c9e1fd', 'outputs': [{'to': 'bc1qlzrnza02z97267me6hque9yk7kxyz8yyg2ckpm', 'value': 45690558}, {'to': 'bc1q5jzs3sckxtqj9eqgug7n4cl7ejtssjx7u2gmdw', 'value': 106006}, {'to': 'bc1qkx6ama94knfhczeykwsxrv5fsgzhd2mkcndpf9', 'value': 800000}, {'to': '36z61juvSGNYcq8AncCnoQB3J3Q4wxzqsj', 'value': 261860}, {'to': 'bc1q0hvazgkr27l2fc8yuv70arv8ktz6nnd8h357yn', 'value': 721185}, {'to': 'bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 'value': 300496730}]}]}",Pass
737600,dbfa5ed714606cc12a3aab3918f4dbbbb776625744ad870ef4740f98d666d631,"{'transaction': {'output_count': 12, 'input_count': 1, 'fee': 71145, 'output_value': 372026804, 'input_value': 372097949, 'hash': 'dbfa5ed714606cc12a3aab3918f4dbbbb776625744ad870ef4740f98d666d631', 'timestamp': 1653323189}}","{'transaction': {'output_count': 12, 'input_count': 1, 'fee': 71145, 'output_value': 372026804, 'input_value': 372097949, 'hash': 'dbfa5ed714606cc12a3aab3918f4dbbbb776625744ad870ef4740f98d666d631', 'timestamp': 1653323189}}",Pass,"{'transactions': [{'timestamp': 1653323189, 'inputs': [{'from': 'bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 'value': 372097949}], 'hash': 'dbfa5ed714606cc12a3aab3918f4dbbbb776625744ad870ef4740f98d666d631', 'outputs': [{'to': 'bc1qyw7nzv5hc49u39c84zxeuuaa3htxpw5yj86x7h', 'value': 3939999}, {'to': 'bc1q02lfkfzeg6h0sds4m689k6txtfunskk2zdxn30', 'value': 306168}, {'to': '38kNcvGy9T9YaD8jryDyjxmGd3uwx1LFuy', 'value': 892660}, {'to': '1BkWzWMo9rwSzKETfG72MmGJCM8GM8BMxY', 'value': 9440000}, {'to': 'bc1qzetp7hce36taspge3490qk9tx0wqlrwhug89qm', 'value': 1730740}, {'to': '1MF5C9Dr5Arvb2iMjpLn3mUxYzQacus6hc', 'value': 3095250}, {'to': '3M3gHD6PanLE8gHUrDe5bqGSER34tD3u6F', 'value': 300000}, {'to': '3ArLpqYebDxUz624GMYu91JqykErnBRxQh', 'value': 20681383}, {'to': 'bc1qxsk7wryw45nqlvn08nxmmf47jta963fynm8vgw', 'value': 265770}, {'to': '3Kc53dxmE1pfaXTySaSbKeYbpaKfYsfD1U', 'value': 379992}, {'to': '38KBn3d9Jr6B8bFkSbwsVWzpbNgt8G3kNY', 'value': 901650}, {'to': 'bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 'value': 330093191}]}]}","{'transactions': [{'timestamp': 1653323189, 'inputs': [{'from': 'bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 'value': 372097949}], 'hash': 'dbfa5ed714606cc12a3aab3918f4dbbbb776625744ad870ef4740f98d666d631', 'outputs': [{'to': 'bc1qyw7nzv5hc49u39c84zxeuuaa3htxpw5yj86x7h', 'value': 3939999}, {'to': 'bc1q02lfkfzeg6h0sds4m689k6txtfunskk2zdxn30', 'value': 306168}, {'to': '38kNcvGy9T9YaD8jryDyjxmGd3uwx1LFuy', 'value': 892660}, {'to': '1BkWzWMo9rwSzKETfG72MmGJCM8GM8BMxY', 'value': 9440000}, {'to': 'bc1qzetp7hce36taspge3490qk9tx0wqlrwhug89qm', 'value': 1730740}, {'to': '1MF5C9Dr5Arvb2iMjpLn3mUxYzQacus6hc', 'value': 3095250}, {'to': '3M3gHD6PanLE8gHUrDe5bqGSER34tD3u6F', 'value': 300000}, {'to': '3ArLpqYebDxUz624GMYu91JqykErnBRxQh', 'value': 20681383}, {'to': 'bc1qxsk7wryw45nqlvn08nxmmf47jta963fynm8vgw', 'value': 265770}, {'to': '3Kc53dxmE1pfaXTySaSbKeYbpaKfYsfD1U', 'value': 379992}, {'to': '38KBn3d9Jr6B8bFkSbwsVWzpbNgt8G3kNY', 'value': 901650}, {'to': 'bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 'value': 330093191}]}]}",Pass
