Block,Hash,crawler hash,neo4j hash,check hash,crawler address,neo4j address,check address
697803,1fb1d3ee1bbd5058421ec9880af673c3deb8617e38a0dd4f6921f8fa72057c00,"{'transaction': {'output_count': 2, 'input_count': 1, 'fee': 90000, 'output_value': 14454102, 'input_value': 14544102, 'hash': '1fb1d3ee1bbd5058421ec9880af673c3deb8617e38a0dd4f6921f8fa72057c00', 'timestamp': 1630050358}}","{'transaction': {'output_count': 2, 'input_count': 1, 'fee': 90000, 'output_value': 14454102, 'input_value': 14544102, 'hash': '1fb1d3ee1bbd5058421ec9880af673c3deb8617e38a0dd4f6921f8fa72057c00', 'timestamp': 1630050358}}",Pass,"{'transactions': [{'timestamp': 1630050358, 'inputs': [{'from': 'bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej', 'value': 14544102}], 'hash': '1fb1d3ee1bbd5058421ec9880af673c3deb8617e38a0dd4f6921f8fa72057c00', 'outputs': [{'to': '3F6hnRWJRaDKMKzartq7g48HyYT2B934R5', 'value': 9523266}, {'to': 'bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej', 'value': 4930836}]}]}","{'transactions': [{'timestamp': 1630050358, 'inputs': [{'from': 'bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej', 'value': 14544102}], 'hash': '1fb1d3ee1bbd5058421ec9880af673c3deb8617e38a0dd4f6921f8fa72057c00', 'outputs': [{'to': '3F6hnRWJRaDKMKzartq7g48HyYT2B934R5', 'value': 9523266}, {'to': 'bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej', 'value': 4930836}]}]}",Pass
697803,d91ebc13574b23dcc8a17568d846b6e42edeb009a9c55d06423cbe07de192156,"{'transaction': {'output_count': 3, 'input_count': 1, 'fee': 100000, 'output_value': 67531013, 'input_value': 67631013, 'hash': 'd91ebc13574b23dcc8a17568d846b6e42edeb009a9c55d06423cbe07de192156', 'timestamp': 1630050358}}","{'transaction': {'output_count': 3, 'input_count': 1, 'fee': 100000, 'output_value': 67531013, 'input_value': 67631013, 'hash': 'd91ebc13574b23dcc8a17568d846b6e42edeb009a9c55d06423cbe07de192156', 'timestamp': 1630050358}}",Pass,"{'transactions': [{'timestamp': 1630050358, 'inputs': [{'from': '12cgpFdJViXbwHbhrA3TuW1EGnL25Zqc3P', 'value': 67631013}], 'hash': 'd91ebc13574b23dcc8a17568d846b6e42edeb009a9c55d06423cbe07de192156', 'outputs': [{'to': '3PBhGJXjiHATedW75CgY9fUfmCHXPiCTPq', 'value': 450519}, {'to': '3Dbs8sXzCanbGk87HF4S8p1cbytx2zrhAn', 'value': 17190564}, {'to': '17A16QmavnUfCW11DAApiJxp7ARnxN5pGX', 'value': 49889930}]}]}","{'transactions': [{'timestamp': 1630050358, 'inputs': [{'from': '12cgpFdJViXbwHbhrA3TuW1EGnL25Zqc3P', 'value': 67631013}], 'hash': 'd91ebc13574b23dcc8a17568d846b6e42edeb009a9c55d06423cbe07de192156', 'outputs': [{'to': '3PBhGJXjiHATedW75CgY9fUfmCHXPiCTPq', 'value': 450519}, {'to': '3Dbs8sXzCanbGk87HF4S8p1cbytx2zrhAn', 'value': 17190564}, {'to': '17A16QmavnUfCW11DAApiJxp7ARnxN5pGX', 'value': 49889930}]}]}",Pass
697803,20a8f9c29fa9c5bea80ec97bffec9468a13b7ad379b7b2bb930cb3ff6307e6aa,"{'transaction': {'output_count': 2, 'input_count': 1, 'fee': 40000, 'output_value': 666020000, 'input_value': 666060000, 'hash': '20a8f9c29fa9c5bea80ec97bffec9468a13b7ad379b7b2bb930cb3ff6307e6aa', 'timestamp': 1630050358}}","{'transaction': {'output_count': 2, 'input_count': 1, 'fee': 40000, 'output_value': 666020000, 'input_value': 666060000, 'hash': '20a8f9c29fa9c5bea80ec97bffec9468a13b7ad379b7b2bb930cb3ff6307e6aa', 'timestamp': 1630050358}}",Pass,"{'transactions': [{'timestamp': 1630050358, 'inputs': [{'from': '35V8Pqn1PLej8M9tE595qJbHryKjEEESh7', 'value': 666060000}], 'hash': '20a8f9c29fa9c5bea80ec97bffec9468a13b7ad379b7b2bb930cb3ff6307e6aa', 'outputs': [{'to': '1H55CJgmFTE2Sytc46XUTVYKds8XS2h1Sh', 'value': 690000}, {'to': '33yBVcFwskgJq1vCqveJ9NPaLjwBy1B1RN', 'value': 665330000}]}]}","{'transactions': [{'timestamp': 1630050358, 'inputs': [{'from': '35V8Pqn1PLej8M9tE595qJbHryKjEEESh7', 'value': 666060000}], 'hash': '20a8f9c29fa9c5bea80ec97bffec9468a13b7ad379b7b2bb930cb3ff6307e6aa', 'outputs': [{'to': '1H55CJgmFTE2Sytc46XUTVYKds8XS2h1Sh', 'value': 690000}, {'to': '33yBVcFwskgJq1vCqveJ9NPaLjwBy1B1RN', 'value': 665330000}]}]}",Pass
697803,1c7b062a15b29974e2856f1f8d3a7f2ce00c14e554e2ccad6bb618d838ae6c7f,"{'transaction': {'output_count': 2, 'input_count': 2, 'fee': 60000, 'output_value': 20572301, 'input_value': 20632301, 'hash': '1c7b062a15b29974e2856f1f8d3a7f2ce00c14e554e2ccad6bb618d838ae6c7f', 'timestamp': 1630050358}}","{'transaction': {'output_count': 2, 'input_count': 2, 'fee': 60000, 'output_value': 20572301, 'input_value': 20632301, 'hash': '1c7b062a15b29974e2856f1f8d3a7f2ce00c14e554e2ccad6bb618d838ae6c7f', 'timestamp': 1630050358}}",Pass,"{'transactions': [{'timestamp': 1630050358, 'inputs': [{'from': '3Ak4ARK4udcufrvRgJUQa9DifvS4kzfff7', 'value': 10335916}, {'from': '3G7dyUjkYhjA4X7EuikdoufQxYNHsrhLS3', 'value': 10296385}], 'hash': '1c7b062a15b29974e2856f1f8d3a7f2ce00c14e554e2ccad6bb618d838ae6c7f', 'outputs': [{'to': '1h3Yq3eTUeRa8u3FottBQKQZ75Mds696H', 'value': 10240083}, {'to': '158ZQdFJxCzt4PqCqdMzQfw3aeR9YFP3Y5', 'value': 10332218}]}]}","{'transactions': [{'timestamp': 1630050358, 'inputs': [{'from': '3Ak4ARK4udcufrvRgJUQa9DifvS4kzfff7', 'value': 10335916}, {'from': '3G7dyUjkYhjA4X7EuikdoufQxYNHsrhLS3', 'value': 10296385}], 'hash': '1c7b062a15b29974e2856f1f8d3a7f2ce00c14e554e2ccad6bb618d838ae6c7f', 'outputs': [{'to': '1h3Yq3eTUeRa8u3FottBQKQZ75Mds696H', 'value': 10240083}, {'to': '158ZQdFJxCzt4PqCqdMzQfw3aeR9YFP3Y5', 'value': 10332218}]}]}",Pass
697803,706c73e564c85cdd0a6d7e72689d0d7fb765235b8a901d561f5059d245b481f5,"{'transaction': {'output_count': 1, 'input_count': 2, 'fee': 40138, 'output_value': 362152, 'input_value': 402290, 'hash': '706c73e564c85cdd0a6d7e72689d0d7fb765235b8a901d561f5059d245b481f5', 'timestamp': 1630050358}}","{'transaction': {'output_count': 1, 'input_count': 2, 'fee': 40138, 'output_value': 362152, 'input_value': 402290, 'hash': '706c73e564c85cdd0a6d7e72689d0d7fb765235b8a901d561f5059d245b481f5', 'timestamp': 1630050358}}",Pass,"{'transactions': [{'timestamp': 1630050358, 'inputs': [{'from': 'bc1q9a3hrkqtum7p8f7afznuqj3pgsrhl4nnvp2awe', 'value': 354705}, {'from': 'bc1qgsn98rpl4t7qux34lvwrj8y2yr9qqwycklm27j', 'value': 47585}], 'hash': '706c73e564c85cdd0a6d7e72689d0d7fb765235b8a901d561f5059d245b481f5', 'outputs': [{'to': '3DeB95NAJU87sEKTjaaERvo89qwmVs7oSN', 'value': 362152}]}]}","{'transactions': [{'timestamp': 1630050358, 'inputs': [{'from': 'bc1q9a3hrkqtum7p8f7afznuqj3pgsrhl4nnvp2awe', 'value': 354705}, {'from': 'bc1qgsn98rpl4t7qux34lvwrj8y2yr9qqwycklm27j', 'value': 47585}], 'hash': '706c73e564c85cdd0a6d7e72689d0d7fb765235b8a901d561f5059d245b481f5', 'outputs': [{'to': '3DeB95NAJU87sEKTjaaERvo89qwmVs7oSN', 'value': 362152}]}]}",Pass
697803,4679b727a5eda5dc92445c265055e2cbbb9178cee9fef92498974ac15085acce,"{'transaction': {'output_count': 1, 'input_count': 3, 'fee': 64532, 'output_value': 399899003, 'input_value': 399963535, 'hash': '4679b727a5eda5dc92445c265055e2cbbb9178cee9fef92498974ac15085acce', 'timestamp': 1630050358}}","{'transaction': {'output_count': 1, 'input_count': 3, 'fee': 64532, 'output_value': 399899003, 'input_value': 399963535, 'hash': '4679b727a5eda5dc92445c265055e2cbbb9178cee9fef92498974ac15085acce', 'timestamp': 1630050358}}",Pass,"{'transactions': [{'timestamp': 1630050358, 'inputs': [{'from': '3CuYtrp1BbarjdrT83rEB31RaCUJN4RjEy', 'value': 223769999}, {'from': 'bc1qplmh8sqk8w7ks983hmnjtnca8kuz4j0mmhhq7l', 'value': 16225397}, {'from': '32iHwxVATyaqQw2xU3enPWLUr5aY7P8U9X', 'value': 159968138}], 'hash': '4679b727a5eda5dc92445c265055e2cbbb9178cee9fef92498974ac15085acce', 'outputs': [{'to': '3K1UEKajrMTFVYcimmyxCsMjvpkR1qTDze', 'value': 399899003}]}]}","{'transactions': [{'timestamp': 1630050358, 'inputs': [{'from': '3CuYtrp1BbarjdrT83rEB31RaCUJN4RjEy', 'value': 223769999}, {'from': 'bc1qplmh8sqk8w7ks983hmnjtnca8kuz4j0mmhhq7l', 'value': 16225397}, {'from': '32iHwxVATyaqQw2xU3enPWLUr5aY7P8U9X', 'value': 159968138}], 'hash': '4679b727a5eda5dc92445c265055e2cbbb9178cee9fef92498974ac15085acce', 'outputs': [{'to': '3K1UEKajrMTFVYcimmyxCsMjvpkR1qTDze', 'value': 399899003}]}]}",Pass
697803,f790709e49a7f58d8e7b1ba47eef37d8f458a7a7f7a7dd35a2b478ae015102f4,"{'transaction': {'output_count': 1, 'input_count': 2, 'fee': 46286, 'output_value': 559263, 'input_value': 605549, 'hash': 'f790709e49a7f58d8e7b1ba47eef37d8f458a7a7f7a7dd35a2b478ae015102f4', 'timestamp': 1630050358}}","{'transaction': {'output_count': 1, 'input_count': 2, 'fee': 46286, 'output_value': 559263, 'input_value': 605549, 'hash': 'f790709e49a7f58d8e7b1ba47eef37d8f458a7a7f7a7dd35a2b478ae015102f4', 'timestamp': 1630050358}}",Pass,"{'transactions': [{'timestamp': 1630050358, 'inputs': [{'from': '3FF98TJWivRMhA6u52R12VRvFzo3EFD9EK', 'value': 345549}, {'from': '3Go7uJ9bW7SkoRdTPeKvpTaacX3pw15icu', 'value': 260000}], 'hash': 'f790709e49a7f58d8e7b1ba47eef37d8f458a7a7f7a7dd35a2b478ae015102f4', 'outputs': [{'to': '3278tgU3BHPMeMyds5VQ95vvWiE4GVq4VQ', 'value': 559263}]}]}","{'transactions': [{'timestamp': 1630050358, 'inputs': [{'from': '3FF98TJWivRMhA6u52R12VRvFzo3EFD9EK', 'value': 345549}, {'from': '3Go7uJ9bW7SkoRdTPeKvpTaacX3pw15icu', 'value': 260000}], 'hash': 'f790709e49a7f58d8e7b1ba47eef37d8f458a7a7f7a7dd35a2b478ae015102f4', 'outputs': [{'to': '3278tgU3BHPMeMyds5VQ95vvWiE4GVq4VQ', 'value': 559263}]}]}",Pass
697803,c18605283991fca89d3ca00f21ed45c197d20ee61eaaa74901734e1d347801d0,"{'transaction': {'output_count': 2, 'input_count': 4, 'fee': 105616, 'output_value': 12849747, 'input_value': 12955363, 'hash': 'c18605283991fca89d3ca00f21ed45c197d20ee61eaaa74901734e1d347801d0', 'timestamp': 1630050358}}","{'transaction': {'output_count': 2, 'input_count': 4, 'fee': 105616, 'output_value': 12849747, 'input_value': 12955363, 'hash': 'c18605283991fca89d3ca00f21ed45c197d20ee61eaaa74901734e1d347801d0', 'timestamp': 1630050358}}",Pass,"{'transactions': [{'timestamp': 1630050358, 'inputs': [{'from': '3QTdPgQAhUXAbzdMJigUMraz7Lz8mqF2Si', 'value': 6766020}, {'from': '1LZqXZYJMuWqRuYFipQkVyAEMHm9VmordR', 'value': 5451687}, {'from': '1Ko79FsG3DhERbKVt33aWMuif6FKm2nDNq', 'value': 400000}, {'from': '3Ay7VBSosvu2Kq9h5pVAcX9aWHx9ktYceL', 'value': 337656}], 'hash': 'c18605283991fca89d3ca00f21ed45c197d20ee61eaaa74901734e1d347801d0', 'outputs': [{'to': 'bc1qm4pw94hfp20u39vun4f2ghj794wc8y8efvyfmy', 'value': 1452190}, {'to': '1Kr6QSydW9bFQG1mXiPNNu6WpJGmUa9i1g', 'value': 11397557}]}]}","{'transactions': [{'timestamp': 1630050358, 'inputs': [{'from': '3QTdPgQAhUXAbzdMJigUMraz7Lz8mqF2Si', 'value': 6766020}, {'from': '1LZqXZYJMuWqRuYFipQkVyAEMHm9VmordR', 'value': 5451687}, {'from': '1Ko79FsG3DhERbKVt33aWMuif6FKm2nDNq', 'value': 400000}, {'from': '3Ay7VBSosvu2Kq9h5pVAcX9aWHx9ktYceL', 'value': 337656}], 'hash': 'c18605283991fca89d3ca00f21ed45c197d20ee61eaaa74901734e1d347801d0', 'outputs': [{'to': 'bc1qm4pw94hfp20u39vun4f2ghj794wc8y8efvyfmy', 'value': 1452190}, {'to': '1Kr6QSydW9bFQG1mXiPNNu6WpJGmUa9i1g', 'value': 11397557}]}]}",Pass
697803,c918d14c6bad7ef0ba2a7a6e433b6a6b392326d8a0178158d4242211b2cf63de,"{'transaction': {'output_count': 1, 'input_count': 1, 'fee': 30000, 'output_value': 40000, 'input_value': 70000, 'hash': 'c918d14c6bad7ef0ba2a7a6e433b6a6b392326d8a0178158d4242211b2cf63de', 'timestamp': 1630050358}}","{'transaction': {'output_count': 1, 'input_count': 1, 'fee': 30000, 'output_value': 40000, 'input_value': 70000, 'hash': 'c918d14c6bad7ef0ba2a7a6e433b6a6b392326d8a0178158d4242211b2cf63de', 'timestamp': 1630050358}}",Pass,"{'transactions': [{'timestamp': 1630050358, 'inputs': [{'from': '1JmcfjkfiqhXm1ZSFvSm9TWds7HiQG5rDp', 'value': 70000}], 'hash': 'c918d14c6bad7ef0ba2a7a6e433b6a6b392326d8a0178158d4242211b2cf63de', 'outputs': [{'to': '1jLuoWfxMdj6iuspzJnKYj3u3zaEHTdFx', 'value': 40000}]}]}","{'transactions': [{'timestamp': 1630050358, 'inputs': [{'from': '1JmcfjkfiqhXm1ZSFvSm9TWds7HiQG5rDp', 'value': 70000}], 'hash': 'c918d14c6bad7ef0ba2a7a6e433b6a6b392326d8a0178158d4242211b2cf63de', 'outputs': [{'to': '1jLuoWfxMdj6iuspzJnKYj3u3zaEHTdFx', 'value': 40000}]}]}",Pass
